# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3749.71 2.5688e-15   3910.24 1 
  3752.35 2.0306e-15   3912.99 1 
  3754.99 9.7267e-16   3915.74 1 
  3757.63 4.9083e-15   3918.49 1 
  3760.26 3.1100e-15   3921.24 1 
  3762.90 3.7851e-15   3923.99 1 
  3765.54 2.7505e-15   3926.74 1 
  3768.17 1.8252e-15   3929.49 1 
  3770.81 7.8642e-16   3932.24 1 
  3773.45 2.4230e-15   3934.99 1 
  3776.09 2.0616e-15   3937.74 1 
  3778.72 2.5477e-15   3940.49 1 
  3781.36 2.0999e-15   3943.24 1 
  3784.00 2.8143e-15   3945.99 1 
  3786.63 4.2158e-15   3948.74 1 
  3789.27 1.3178e-15   3951.49 1 
  3791.91 2.1441e-15   3954.24 1 
  3794.55 2.2463e-15   3956.99 1 
  3797.18 2.0913e-15   3959.74 1 
  3799.82 8.1420e-16   3962.49 1 
  3802.46 2.0660e-15   3965.24 1 
  3805.09 1.6386e-15   3967.99 1 
  3807.73 2.1674e-15   3970.74 1 
  3810.37 2.6942e-15   3973.49 1 
  3813.01 2.8921e-15   3976.24 1 
  3815.64 4.6961e-15   3978.99 1 
  3818.28 3.0632e-15   3981.74 1 
  3820.92 2.6696e-15   3984.49 1 
  3823.55 2.1793e-15   3987.24 1 
  3826.19 1.2759e-15   3989.99 1 
  3828.83 2.1527e-15   3992.74 1 
  3831.46 3.3210e-15   3995.49 1 
  3834.10 2.1412e-15   3998.24 1 
  3836.74 1.6636e-15   4000.99 1 
  3839.38 8.8066e-16   4003.74 1 
  3842.01 1.8713e-15   4006.49 1 
  3844.65 1.3033e-15   4009.24 1 
  3847.29 2.8604e-15   4011.99 1 
  3849.92 3.9643e-15   4014.74 1 
  3852.56 2.2786e-15   4017.49 1 
  3855.20 3.3976e-15   4020.24 1 
  3857.84 2.3488e-15   4022.99 1 
  3860.47 3.3505e-15   4025.74 1 
  3863.11 3.7980e-15   4028.49 1 
  3865.75 3.1861e-15   4031.24 1 
  3868.38 2.7057e-15   4033.99 1 
  3871.02 3.2644e-15   4036.74 1 
  3873.66 3.3585e-15   4039.49 1 
  3876.30 3.9519e-15   4042.24 1 
  3878.93 3.2036e-15   4044.99 1 
  3881.57 3.3627e-15   4047.74 1 
  3884.21 1.5808e-15   4050.49 1 
  3886.84 2.0685e-15   4053.24 1 
  3889.48 1.7238e-15   4055.99 1 
  3892.12 9.1529e-16   4058.74 1 
  3894.76 2.4865e-15   4061.49 1 
  3897.39 3.2280e-15   4064.24 1 
  3900.03 2.0995e-15   4066.99 1 
  3902.67 3.3242e-15   4069.74 1 
  3905.30 2.9455e-15   4072.49 1 
  3907.94 4.0704e-15   4075.24 1 
  3910.58 3.0648e-15   4077.99 1 
  3913.22 4.4849e-15   4080.74 1 
  3915.85 2.8338e-15   4083.49 1 
  3918.49 2.5544e-15   4086.24 1 
  3921.13 2.7108e-15   4088.99 1 
  3923.76 3.7164e-15   4091.74 1 
  3926.40 3.9586e-15   4094.49 1 
  3929.04 3.3866e-15   4097.24 1 
  3931.68 2.7570e-15   4099.99 1 
  3934.31 2.5621e-15   4102.74 1 
  3936.95 2.4292e-15   4105.49 1 
  3939.59 2.9913e-15   4108.24 1 
  3942.22 2.8890e-15   4110.99 1 
  3944.86 2.7107e-15   4113.74 1 
  3947.50 2.9323e-15   4116.49 1 
  3950.13 3.0975e-15   4119.24 1 
  3952.77 2.9312e-15   4121.99 1 
  3955.41 2.8759e-15   4124.74 1 
  3958.05 4.0677e-15   4127.49 1 
  3960.68 3.3472e-15   4130.24 1 
  3963.32 3.4903e-15   4132.99 1 
  3965.96 3.3800e-15   4135.74 1 
  3968.59 1.9946e-15   4138.49 1 
  3971.23 2.2341e-15   4141.24 1 
  3973.87 1.5402e-15   4143.99 1 
  3976.51 1.3763e-15   4146.74 1 
  3979.14 2.2025e-15   4149.49 1 
  3981.78 2.7868e-15   4152.24 1 
  3984.42 3.2931e-15   4154.99 1 
  3987.05 3.5205e-15   4157.74 1 
  3989.69 3.3132e-15   4160.49 1 
  3992.33 3.2342e-15   4163.24 1 
  3994.97 2.9799e-15   4165.99 1 
  3997.60 3.1992e-15   4168.74 1 
  4000.24 3.0159e-15   4171.49 1 
  4002.88 3.0724e-15   4174.24 1 
  4005.51 3.3445e-15   4176.99 1 
  4008.15 3.3850e-15   4179.74 1 
  4010.79 2.6266e-15   4182.49 1 
  4013.43 3.2551e-15   4185.24 1 
  4016.06 3.3028e-15   4187.99 1 
  4018.70 4.1346e-15   4190.74 1 
  4021.34 4.3810e-15   4193.49 1 
  4023.97 4.5278e-15   4196.24 1 
  4026.61 4.8763e-15   4198.99 1 
  4029.25 4.0316e-15   4201.74 1 
  4031.89 3.5680e-15   4204.49 1 
  4034.52 3.7604e-15   4207.24 1 
  4037.16 4.5210e-15   4209.99 1 
  4039.80 3.8387e-15   4212.74 1 
  4042.43 3.8633e-15   4215.49 1 
  4045.07 4.5204e-15   4218.24 1 
  4047.71 4.4234e-15   4220.99 1 
  4050.34 4.3319e-15   4223.74 1 
  4052.98 3.3431e-15   4226.49 1 
  4055.62 3.6919e-15   4229.24 1 
  4058.26 4.0430e-15   4231.99 1 
  4060.89 4.4692e-15   4234.74 1 
  4063.53 4.4450e-15   4237.49 1 
  4066.17 3.7899e-15   4240.24 1 
  4068.80 4.0954e-15   4242.99 1 
  4071.44 4.7785e-15   4245.74 1 
  4074.08 4.2527e-15   4248.49 1 
  4076.72 3.9708e-15   4251.24 1 
  4079.35 3.4595e-15   4253.99 1 
  4081.99 3.5802e-15   4256.74 1 
  4084.63 3.4356e-15   4259.49 1 
  4087.26 3.4918e-15   4262.24 1 
  4089.90 3.7522e-15   4264.99 1 
  4092.54 3.2811e-15   4267.74 1 
  4095.18 4.4253e-15   4270.49 1 
  4097.81 2.8460e-15   4273.24 1 
  4100.45 3.6743e-15   4275.99 1 
  4103.09 3.5398e-15   4278.74 1 
  4105.72 2.6330e-15   4281.49 1 
  4108.36 2.0453e-15   4284.24 1 
  4111.00 2.8034e-15   4286.99 1 
  4113.64 2.7200e-15   4289.74 1 
  4116.27 2.8236e-15   4292.49 1 
  4118.91 2.7484e-15   4295.24 1 
  4121.55 3.2098e-15   4297.99 1 
  4124.18 3.0849e-15   4300.74 1 
  4126.82 3.0255e-15   4303.49 1 
  4129.46 3.4993e-15   4306.24 1 
  4132.10 4.3218e-15   4308.99 1 
  4134.73 3.9990e-15   4311.74 1 
  4137.37 3.3165e-15   4314.49 1 
  4140.01 4.1094e-15   4317.24 1 
  4142.64 3.4650e-15   4319.99 1 
  4145.28 3.1762e-15   4322.74 1 
  4147.92 3.3913e-15   4325.49 1 
  4150.55 4.6358e-15   4328.24 1 
  4153.19 3.8678e-15   4330.99 1 
  4155.83 4.1371e-15   4333.74 1 
  4158.47 3.6926e-15   4336.49 1 
  4161.10 4.0246e-15   4339.24 1 
  4163.74 4.6162e-15   4341.99 1 
  4166.38 3.2462e-15   4344.74 1 
  4169.01 2.9037e-15   4347.49 1 
  4171.65 2.9552e-15   4350.24 1 
  4174.29 3.1463e-15   4352.99 1 
