# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3875.52 5.8337e-15   3995.01 1 
  3878.19 3.9613e-15   3997.76 1 
  3880.86 5.8785e-15   4000.51 1 
  3883.53 5.3809e-15   4003.26 1 
  3886.19 5.4100e-15   4006.01 1 
  3888.86 3.6496e-15   4008.76 1 
  3891.53 1.5646e-15   4011.51 1 
  3894.20 1.3641e-15   4014.26 1 
  3896.87 5.3924e-15   4017.01 1 
  3899.53 4.6736e-15   4019.76 1 
  3902.20 5.0580e-15   4022.51 1 
  3904.87 2.3795e-15   4025.26 1 
  3907.54 4.1704e-15   4028.01 1 
  3910.20 4.4813e-15   4030.76 1 
  3912.87 6.5949e-15   4033.51 1 
  3915.54 5.8727e-15   4036.26 1 
  3918.21 5.6597e-15   4039.01 1 
  3920.88 5.3210e-15   4041.76 1 
  3923.54 4.8529e-15   4044.51 1 
  3926.21 6.0796e-15   4047.26 1 
  3928.88 6.7240e-15   4050.01 1 
  3931.55 3.4642e-15   4052.76 1 
  3934.21 2.3404e-15   4055.51 1 
  3936.88 5.3771e-15   4058.26 1 
  3939.55 2.6159e-15   4061.01 1 
  3942.22 3.5011e-15   4063.76 1 
  3944.89 4.0011e-15   4066.51 1 
  3947.55 3.8644e-15   4069.26 1 
  3950.22 6.0086e-15   4072.01 1 
  3952.89 5.4858e-15   4074.76 1 
  3955.56 5.8519e-15   4077.51 1 
  3958.22 4.0831e-15   4080.26 1 
  3960.89 5.8162e-15   4083.01 1 
  3963.56 5.6728e-15   4085.76 1 
  3966.23 3.8968e-15   4088.51 1 
  3968.90 4.3556e-15   4091.26 1 
  3971.56 2.1444e-15   4094.01 1 
  3974.23 3.2188e-15   4096.76 1 
  3976.90 3.3089e-15   4099.51 1 
  3979.57 2.8019e-15   4102.26 1 
  3982.23 5.4555e-15   4105.01 1 
  3984.90 5.1796e-15   4107.76 1 
  3987.57 4.0272e-15   4110.51 1 
  3990.24 4.4818e-15   4113.26 1 
  3992.90 5.8300e-15   4116.01 1 
  3995.57 5.4459e-15   4118.76 1 
  3998.24 8.5615e-15   4121.51 1 
  4000.91 5.1408e-15   4124.26 1 
  4003.58 4.9329e-15   4127.01 1 
  4006.24 4.9480e-15   4129.76 1 
  4008.91 5.5362e-15   4132.51 1 
  4011.58 4.9502e-15   4135.26 1 
  4014.25 6.9464e-15   4138.01 1 
  4016.91 6.4307e-15   4140.76 1 
